"LAND SQUARE FEET","TAX CLASS AT TIME OF SALE","COMMERCIAL UNITS","BLOCK","ZIP CODE","RESIDENTIAL UNITS","TOTAL UNITS","BUILDING CLASS CATEGORY","BUILDING CLASS AT PRESENT","NEIGHBORHOOD","SALE PRICE"
-0.00677301732658689,0.649274160489372,-0.000460626020408604,1.53196265402607,0.44139680324347,0.00131442727351636,0.00127493077969798,10,24,28,2
-0.122526288019646,-0.624811711742519,-0.24151206480613,0.350343350023051,0.205286287721024,-0.224181400531743,-0.237402954192556,1,1,35,3
-0.00677301732658689,0.649274160489372,-0.000460626020408604,-0.830335174279329,0.382369174362858,0.00131442727351636,0.00127493077969798,10,24,36,3
-0.142115103230925,-0.624811711742519,-0.24151206480613,1.12836816245179,0.0872310299598012,-0.224181400531743,-0.237402954192556,1,5,10,3
-0.13726638659447,-0.624811711742519,-0.24151206480613,0.254383820557838,0.323341545482247,-0.120030875541534,-0.134492167953976,2,13,5,3
-0.060921139191375,-0.624811711742519,-0.24151206480613,0.924218967413053,0.677507318765915,-0.224181400531743,-0.237402954192556,1,9,2,3
-0.00677301732658689,0.649274160489372,-0.000460626020408604,-0.939465619553494,-0.325962372204479,0.00131442727351636,0.00127493077969798,10,24,3,2
-0.136684540598095,-0.624811711742519,-0.24151206480613,-0.644060793552739,0.559452061004692,-0.015880350551325,-0.0315813817153958,3,14,30,3
-0.0654348535874933,0.649274160489372,-0.24151206480613,-1.37410584124887,-0.38499000108509,2.37958172422348,2.33536670177194,7,15,23,2
-0.00677301732658689,0.649274160489372,-0.000460626020408604,1.42847688695574,-0.0308242278014216,0.00131442727351636,0.00127493077969798,10,24,28,3
-0.0848120884364543,-0.624811711742519,-0.24151206480613,-0.0363171069397204,-0.148879485562644,-0.120030875541534,-0.134492167953976,2,11,29,2
-0.00677301732658689,0.649274160489372,-0.000460626020408604,-0.992149282789297,0.264313916601635,0.00131442727351636,0.00127493077969798,10,24,17,2
-0.00677301732658689,0.649274160489372,-0.000460626020408604,1.5733569608542,0.44139680324347,0.00131442727351636,0.00127493077969798,10,24,28,3
-0.129102910948365,0.649274160489372,-0.24151206480613,-0.38346481647564,0.500424432124081,0.192420699429093,0.174240190761764,7,16,30,2
-0.143878272916909,-0.624811711742519,-0.24151206480613,-1.56038022197546,-0.444017629965701,-0.120030875541534,-0.134492167953976,2,11,21,3
-0.00677301732658689,0.649274160489372,-0.000460626020408604,1.5733569608542,0.44139680324347,0.00131442727351636,0.00127493077969798,10,24,28,1
-0.137707179015966,-0.624811711742519,-0.24151206480613,-1.87365986228837,-0.562072887726924,-0.120030875541534,-0.134492167953976,2,10,22,1
-0.12859159173943,-0.624811711742519,-0.24151206480613,-1.06458931973853,-0.38499000108509,-0.120030875541534,-0.134492167953976,2,11,14,3
-0.00677301732658689,0.649274160489372,-0.000460626020408604,0.920455848610496,0.677507318765915,0.00131442727351636,0.00127493077969798,10,24,2,2
-0.143578534070291,-0.624811711742519,-0.24151206480613,-1.05800386183405,-0.38499000108509,-0.120030875541534,-0.134492167953976,2,12,14,3
-0.00677301732658689,0.649274160489372,-0.000460626020408604,-0.940406399254133,-0.325962372204479,0.00131442727351636,0.00127493077969798,10,24,3,2
-0.00677301732658689,0.649274160489372,-0.000460626020408604,-0.100290126583196,-0.148879485562644,0.00131442727351636,0.00127493077969798,10,24,29,2
-0.00677301732658689,0.649274160489372,-0.000460626020408604,1.5733569608542,0.44139680324347,0.00131442727351636,0.00127493077969798,10,24,28,2
-0.131236346268405,-0.624811711742519,-0.24151206480613,0.247798362653362,0.205286287721024,-0.015880350551325,-0.0315813817153958,3,14,5,3
-0.151759641413256,-0.624811711742519,-0.24151206480613,1.1189603654454,0.0872310299598012,-0.015880350551325,-0.0315813817153958,3,14,10,3
-0.123354977772058,-0.624811711742519,-0.24151206480613,0.625051022609741,0.146258658840413,-0.120030875541534,-0.134492167953976,2,12,2,2
-0.104295113466574,-0.624811711742519,-0.24151206480613,1.50185770360561,0.44139680324347,-0.224181400531743,-0.237402954192556,1,1,28,2
-0.130072654275656,-0.624811711742519,-0.24151206480613,0.182884563309247,0.323341545482247,-0.224181400531743,-0.237402954192556,1,5,26,3
-0.134568736974915,-0.624811711742519,-0.24151206480613,-1.66010287024323,-0.680128145488147,-0.015880350551325,-0.0315813817153958,3,14,15,3
